DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2017-10-16 00:00:00,3,66,0,3599999999999999,2017-10-16 00:00:00,,
2017-10-23 00:00:00,5,1525,0,25,2017-10-23 00:00:00,,
2017-10-30 00:00:00,4,816,0,"2,8E+016",2017-10-30 00:00:00,,
2017-11-06 00:00:00,4,4239999999999995,0,76,2017-11-06 00:00:00,,
2017-11-13 00:00:00,5,52,0,"1,04E+016",2017-11-13 00:00:00,,
2017-11-20 00:00:00,2,5375,0,115,2017-11-20 00:00:00,,
2017-11-27 00:00:00,8,437999999999999,0,"2,16E+016",2017-11-27 00:00:00,,
2017-12-04 00:00:00,5,529999999999999,0,86,2017-12-04 00:00:00,,
2017-12-11 00:00:00,4,621999999999999,0,5600000000000001,2017-12-11 00:00:00,,
2017-12-18 00:00:00,4,284000000000001,0,"1,04E+016",2017-12-18 00:00:00,,
2017-12-25 00:00:00,3,2,0,95,2017-12-25 00:00:00,,
2018-01-01 00:00:00,4,1775,0,"3,95E+016",2018-01-01 00:00:00,,
2018-01-08 00:00:00,4,862,0,278,2018-01-08 00:00:00,,
2018-01-15 00:00:00,6,3725000000000005,0,"1,25E+016",2018-01-15 00:00:00,,
2018-01-22 00:00:00,6,728,0,274,2018-01-22 00:00:00,,
2018-01-29 00:00:00,9,666,0,532,2018-01-29 00:00:00,,
2018-02-05 00:00:00,35,257999999999996,0,8039999999999999,2018-02-05 00:00:00,,
2018-02-12 00:00:00,13,58000000000002,0,798,2018-02-12 00:00:00,,
2018-02-19 00:00:00,12,29,0,1E+016,2018-02-19 00:00:00,,
2018-02-26 00:00:00,15,337999999999997,0,"4,44E+016",2018-02-26 00:00:00,,
2018-03-05 00:00:00,10,524000000000001,0,694,2018-03-05 00:00:00,,
2018-03-12 00:00:00,8,964000000000002,0,4720000000000001,2018-03-12 00:00:00,,
2018-03-19 00:00:00,15,248333333333335,0,6016666666666667,2018-03-19 00:00:00,,
2018-03-26 00:00:00,20,55,0,8200000000000001,2018-03-26 00:00:00,,
2018-04-02 00:00:00,17,348,0,"3,28E+016",2018-04-02 00:00:00,,
2018-04-09 00:00:00,10,806,0,"1,06E+016",2018-04-09 00:00:00,,
2018-04-16 00:00:00,8,312000000000001,0,"1,76E+016",2018-04-16 00:00:00,,
2018-04-23 00:00:00,12,78,0,442,2018-04-23 00:00:00,,
2018-04-30 00:00:00,12,244,0,"2,98E+016",2018-04-30 00:00:00,,
2018-05-07 00:00:00,7,62,0,308,2018-05-07 00:00:00,,
2018-05-14 00:00:00,7,686000000000002,0,44,2018-05-14 00:00:00,,
2018-05-21 00:00:00,7,4375,0,"2,5E+016",2018-05-21 00:00:00,,
2018-05-28 00:00:00,8,216,0,84,2018-05-28 00:00:00,,
2018-06-04 00:00:00,5,54,0,"2,16E+016",2018-06-04 00:00:00,,
2018-06-11 00:00:00,6,394,0,"1,4E+016",2018-06-11 00:00:00,,
2018-06-18 00:00:00,8,814,0,"3,14E+016",2018-06-18 00:00:00,,
2018-06-25 00:00:00,9,792,0,"2,2E+016",2018-06-25 00:00:00,,
2018-07-02 00:00:00,6,657500000000001,0,2725,2018-07-02 00:00:00,,
2018-07-09 00:00:00,5,98000000000001,0,"1,12E+016",2018-07-09 00:00:00,,
2018-07-16 00:00:00,4,805,0,155,2018-07-16 00:00:00,,
2018-07-23 00:00:00,7,281999999999999,0,7199999999999998,2018-07-23 00:00:00,,
2018-07-30 00:00:00,5,598000000000001,0,"3,26E+016",2018-07-30 00:00:00,,
2018-08-06 00:00:00,5,206,0,144,2018-08-06 00:00:00,,
2018-08-13 00:00:00,6,220000000000001,0,188,2018-08-13 00:00:00,,
2018-08-20 00:00:00,4,864,0,162,2018-08-20 00:00:00,,
2018-08-27 00:00:00,5,1025,0,"3,75E+016",2018-08-27 00:00:00,,
2018-09-03 00:00:00,7,388,0,96,2018-09-03 00:00:00,,
2018-09-10 00:00:00,6,182,0,5799999999999998,2018-09-10 00:00:00,,
2018-09-17 00:00:00,4,354000000000001,0,"1,12E+016",2018-09-17 00:00:00,,
2018-09-24 00:00:00,5,8740000000000006,0,78,2018-09-24 00:00:00,,
2018-10-01 00:00:00,8,825999999999999,0,"2,32E+016",2018-10-01 00:00:00,,
2018-10-08 00:00:00,19,144,-1,108,2018-10-08 00:00:00,,
2018-10-15 00:00:00,14,618,0,"1,36E+016",2018-10-15 00:00:00,,
2018-10-22 00:00:00,22,43,0,3775,2018-10-22 00:00:00,,
2018-10-29 00:00:00,18,152,0,46,2018-10-29 00:00:00,,
2018-11-05 00:00:00,10,244000000000002,0,4E+016,2018-11-05 00:00:00,,
2018-11-12 00:00:00,17,568,0,264,2018-11-12 00:00:00,,
2018-11-19 00:00:00,13,52,0,57,2018-11-19 00:00:00,,
2018-11-26 00:00:00,11,904,0,8619999999999999,2018-11-26 00:00:00,,
2018-12-03 00:00:00,20,9925,0,"9,925E+015",2018-12-03 00:00:00,,
2018-12-10 00:00:00,18,224,0,5,2018-12-10 00:00:00,,
2018-12-17 00:00:00,26,758,-1,418,2018-12-17 00:00:00,,
2018-12-24 00:00:00,29,160000000000004,0,8925000000000001,2018-12-24 00:00:00,,
2018-12-31 00:00:00,19,630000000000003,0,54,2018-12-31 00:00:00,,
2019-01-07 00:00:00,12,132000000000001,0,438,2019-01-07 00:00:00,,
2019-01-14 00:00:00,9,97,0,566,2019-01-14 00:00:00,,
2019-01-21 00:00:00,10,5575,0,"1,75E+016",2019-01-21 00:00:00,,
2019-01-28 00:00:00,10,85,0,"3,3E+016",2019-01-28 00:00:00,,
2019-02-04 00:00:00,8,452,0,"2,08E+016",2019-02-04 00:00:00,,
2019-02-11 00:00:00,7,464,0,278,2019-02-11 00:00:00,,
2019-02-18 00:00:00,6,785,0,21,2019-02-18 00:00:00,,
2019-02-25 00:00:00,6,8260000000000005,0,2E+016,2019-02-25 00:00:00,,
2019-03-04 00:00:00,9,95,0,358,2019-03-04 00:00:00,,
2019-03-11 00:00:00,6,27,0,442,2019-03-11 00:00:00,,
2019-03-18 00:00:00,10,784,0,"9,2E+015",2019-03-18 00:00:00,,
2019-03-25 00:00:00,9,363333333333333,0,"1,4E+016",2019-03-25 00:00:00,,
2019-04-01 00:00:00,5,458,0,12,2019-04-01 00:00:00,,
2019-04-08 00:00:00,5,840000000000005,0,2E+016,2019-04-08 00:00:00,,
2019-04-15 00:00:00,5,5575,0,975,2019-04-15 00:00:00,,
2019-04-22 00:00:00,5,904000000000001,0,"2,08E+016",2019-04-22 00:00:00,,
2019-04-29 00:00:00,8,120000000000001,0,1E+016,2019-04-29 00:00:00,,
2019-05-06 00:00:00,15,172,0,196,2019-05-06 00:00:00,,
2019-05-13 00:00:00,10,838,0,454,2019-05-13 00:00:00,,
2019-05-20 00:00:00,8,2175,0,8249999999999999,2019-05-20 00:00:00,,
2019-05-27 00:00:00,11,940000000000001,0,396,2019-05-27 00:00:00,,
2019-06-03 00:00:00,8,872,0,604,2019-06-03 00:00:00,,
2019-06-10 00:00:00,6,484,0,"1,02E+016",2019-06-10 00:00:00,,
2019-06-17 00:00:00,7,8375,0,1675,2019-06-17 00:00:00,,
2019-06-24 00:00:00,6,601999999999999,0,238,2019-06-24 00:00:00,,
2019-07-01 00:00:00,5,6625,0,24,2019-07-01 00:00:00,,
2019-07-08 00:00:00,5,920000000000005,0,166,2019-07-08 00:00:00,,
2019-07-15 00:00:00,6,382000000000001,0,248,2019-07-15 00:00:00,,
2019-07-22 00:00:00,5,366,0,"1,9E+016",2019-07-22 00:00:00,,
2019-07-29 00:00:00,15,347999999999999,0,836,2019-07-29 00:00:00,,
2019-08-05 00:00:00,13,632,0,358,2019-08-05 00:00:00,,
2019-08-12 00:00:00,14,646,0,"1,22E+016",2019-08-12 00:00:00,,
2019-08-19 00:00:00,12,508,0,516,2019-08-19 00:00:00,,
2019-08-26 00:00:00,9,8875,0,4000000000000001,2019-08-26 00:00:00,,
2019-09-02 00:00:00,7,164,0,1E+016,2019-09-02 00:00:00,,
2019-09-09 00:00:00,7,114,0,162,2019-09-09 00:00:00,,
2019-09-16 00:00:00,7,436000000000002,0,"1,6E+016",2019-09-16 00:00:00,,
2019-09-23 00:00:00,9,739999999999998,0,"2,7E+016",2019-09-23 00:00:00,,
2019-09-30 00:00:00,14,294,0,"1,84E+016",2019-09-30 00:00:00,,
2019-10-07 00:00:00,10,292,0,"5,2E+016",2019-10-07 00:00:00,,
2019-10-14 00:00:00,6,204,0,128,2019-10-14 00:00:00,,
2019-10-21 00:00:00,6,3525,0,875,2019-10-21 00:00:00,,
2019-10-28 00:00:00,6,372000000000001,0,15,2019-10-28 00:00:00,,
2019-11-04 00:00:00,4,856,0,32,2019-11-04 00:00:00,,
2019-11-11 00:00:00,5,5,0,"2,44E+016",2019-11-11 00:00:00,,
2019-11-18 00:00:00,6,265,0,1575,2019-11-18 00:00:00,,
2019-11-25 00:00:00,3,39,0,185,2019-11-25 00:00:00,,
2019-12-02 00:00:00,6,880000000000001,0,2799999999999998,2019-12-02 00:00:00,,
2019-12-09 00:00:00,7,411999999999999,0,"1,66E+016",2019-12-09 00:00:00,,
2019-12-16 00:00:00,3,3725,0,"2,75E+016",2019-12-16 00:00:00,,
2019-12-23 00:00:00,3,2525000000000004,0,"1,5E+016",2019-12-23 00:00:00,,
2019-12-30 00:00:00,7,285,0,"1,4E+016",2019-12-30 00:00:00,,
2020-01-06 00:00:00,6,5760000000000005,0,192,2020-01-06 00:00:00,,
2020-01-13 00:00:00,5,1579999999999995,0,248,2020-01-13 00:00:00,,
2020-01-20 00:00:00,7,555,0,"2,75E+016",2020-01-20 00:00:00,,
2020-01-27 00:00:00,10,139999999999999,0,"1,82E+016",2020-01-27 00:00:00,,
2020-02-03 00:00:00,8,216,0,198,2020-02-03 00:00:00,,
2020-02-10 00:00:00,6,82000000000001,0,27,2020-02-10 00:00:00,,
2020-02-17 00:00:00,8,985,0,1725,2020-02-17 00:00:00,,
